context,response,naija_pidgin,naija_english,intents
"I'm going through some things with my feelings and myself. I barely sleep and I do nothing but think about how I'm worthless and how I shouldn't be here.
   I've never tried or contemplated suicide. I've always wanted to fix my issues, but I never get around to it.
   How can I change my feeling of being worthless to everyone?","People who feel worthless were, in one way or another, were told that they are worthless. This is the lie that they are living with. The work of therapy is to help people see their true good selves. This gives them self esteem.","I dey pass through many things for my mind. Sleep no gree come, na so so overthink I dey do about how I no get value and why I even dey this world. I never try kill myself or even tink am like that. I don always wan fix my matter but I never fit catch up. How I fit change this feeling say I be zero for everybody eye?","I’m just going through a lot with my emotions and myself. I hardly sleep sef, I just stay up thinking about how I’m worthless and how I shouldn’t even be here. I’ve never tried to end it or anything. I’ve always wanted to fix my issues but I haven’t been able to. How can I stop feeling like I’m not worth anything to everyone?","crisis_suicide_ideation, low_self_esteem, sadness_depression"
"I'm going through some things with my feelings and myself. I barely sleep and I do nothing but think about how I'm worthless and how I shouldn't be here.
   I've never tried or contemplated suicide. I've always wanted to fix my issues, but I never get around to it.
   How can I change my feeling of being worthless to everyone?","I'm sorry to hear you're feeling this intense emotion of worthlessness.  I'm glad to hear this has not reached the point of suicidal ideation; however, it does sounds like you could use some additional support right now.  I would recommend seeking out counseling to help you challenge the negative beliefs you have about yourself.  Although many types of therapy would be helpful, cognitive-behavioral therapy has been shown to be a good approach for this type of struggle.  A CBT therapist can help you identify your negative thoughts and beliefs, figure out the ways your thoughts are being distorted (for example, all-or-nothing thinking, or discounting the positives about yourself), and reframe your thoughts to be more positive.  You might also consider EMDR therapy, which helps the brain reprocess traumatic or distressing memories and helps you move forward with more positive beliefs about yourself.  Best wishes!","My head just dey scatter, I no even understand myself again. Sleep no dey catch me at all, na just to dey overthink how I be pure zero and how my life no get meaning. No be say I wan drink sniper or kill myself oh, I never reason that side at all. I dey always wan sort my head make I dey alright, but the ginger no just dey. Abeg, wetin I fit do so that this feeling say I be waste of space to everybody go comot for my body?","Omo I’m just going through a lot mentally rn, I don't even get myself. I barely sleep tbh, I just stay up overthinking about how useless I am and how I shouldn't even be here. It's not like I want to off myself or anything, I've never thought of suicide. I actually want to work on my issues, but I just never have the ginger to start. How do I stop feeling like I'm worthless to everybody?","low_self_esteem, sadness_depression, sleep_insomnia"
"I'm going through some things with my feelings and myself. I barely sleep and I do nothing but think about how I'm worthless and how I shouldn't be here.
   I've never tried or contemplated suicide. I've always wanted to fix my issues, but I never get around to it.
   How can I change my feeling of being worthless to everyone?","It sounds like you may be struggling with depression. Depression can make you feel overwhelmed and paralyzed to change. I would suggest that you connect with a provider who can help you get to the root of where the worthlessness is coming from and help you develop a plan for recovery. In the meantime, small steps can go a long way. Self-care interventions such as journaling your feelings, mindfulness meditation, and regular exercise are all helpful to reconnecting with the present moment and gaining internal motivation. Focusing on one day at a time and bringing your thoughts back to the present can also be beneficial. There is hope!","Omo, my body and my mind no just balance at all. Sleep don cast for my eyes, na so so overthinking I dey do, dey feel like say my life no get head and I no even suppose dey this world. No be say I wan kill myself oh, I never even reason that side. I dey always wan arrange myself make my head correct, but the energy to run am no just dey. Abeg, how I go take stop this feeling say I be pure zero to everybody?","Omo I'm going thru a lot mentally rn. I barely even sleep, I just stay up overthinking abt how useless I am and how I shouldn't even be here. It's not like I'm suicidal tbh, I've never actually tried or thought of ending it. I always want to work on my issues and get my shit together but I never just get around to it. Pls how do I stop feeling like I'm a complete failure to everyone?","low_self_esteem, sadness_depression, crisis_suicide_ideation"
"I'm going through some things with my feelings and myself. I barely sleep and I do nothing but think about how I'm worthless and how I shouldn't be here.
   I've never tried or contemplated suicide. I've always wanted to fix my issues, but I never get around to it.
   How can I change my feeling of being worthless to everyone?","I'm glad you are interested in changing your feelings of worthlessness. Visiting your doctor is a great first step to address your lack of sleep. First, you want to make sure that you are physically healthy and that there isn't a physical condition causing your problem with sleep. Changing your feelings is something that is difficult to do, especially on your own. Make sure that you have someone you can trust and you can talk to about how you feel. This can be a friend or a family member. If you find that there isn't anyone you would feel comfortable talking to about this issue, find a therapist close to you who can help. One activity that people have found helpful in feeling better about themselves is keeping a gratitude journal. You can do this by journaling daily about the things that you are grateful for. There is no right or wrong way of doing this, as long as you focus your journal entries on the things you are grateful for in life.","Omo, my mind dey do me one kain, I dey fight serious battle inside myself. Sleep no dey even come my eye, na just to dey overthink how my life no get meaning and how I no suppose dey this world. No be say I don ever plan to drink sniper or off myself oh. I always wan run package to correct my head, but body go just weak me I no go do anything. Abeg, how I go take wipe off this feeling say I be useless person to everybody?","Omo I'm going through a lot mentally rn. I barely even catch sleep, I just stay up overthinking about how useless I am and how I shouldn't even be here tbh. Not like I've ever planned to off myself or anything sha. I always want to work on myself and fix my issues but I just never get around to doing it. Pls how do I stop feeling like I'm completely worthless to everyone?","sadness_depression, low_self_esteem, seeking_coping_advice"
"I'm going through some things with my feelings and myself. I barely sleep and I do nothing but think about how I'm worthless and how I shouldn't be here.
   I've never tried or contemplated suicide. I've always wanted to fix my issues, but I never get around to it.
   How can I change my feeling of being worthless to everyone?","You have
several things going on here. The sleep should be addressed with a primary care
physician to rule out any physical issues. Sleep is the big reset and allows us
to function in the day. What happens during a depression is that our thoughts
race and it is as though our “brain won’t shut off.” Medication can help with
this. I also use a Pranayama yoga breathing technique called the four
fold breath which has great usefulness for relaxing us  and often does work quite well with allowing
us to sleep.. You can read about it here:    https://billleavitttherapy.com/breathing-techniques-the-four-fold-breath/Your
thoughts on feeling worthless to everyone fall under a heading of thinking
error in Cognitive Behavioral Therapy (CBT) known as overgeneralization. In CBT
thoughts lead to emotions, so we are going to pick the statement apart and then
reframe it. First list
the evidence that contradicts the thought. Has anyone in the past made positive
comments toward you? This might be hard to recall if we are in a rut, but at
some point in life we frequently have had some positives expressed towards us
by others.  “Everyone” is an absolute. The
specifics on why you are thinking this need to be addressed. How are you
arriving at this conclusion? There may be specific people that we want more
validation from. Or specific people might have made offhand hurtful comments, (such
as a family member, teacher or co-worker) but if I extrapolate that to a global
and think that everyone thinks I am worthless, that thought is not rooted in
facts.  
What are
the Pros and Cons of thinking this way? What are the Benefits and Costs? There
are very little pros or benefits to thinking this way. It’s just going to
continue to tear you down and make you feel bad. So can we reframe the thought
about the situation? Is there another way of looking at the situation? Again,
we need the specifics on how you are arriving at this conclusion, and a one on
one therapist can definitely help you with this, but the thinking that you are
using to arrive at the conclusion needs to be re-cast into a more helpful
mindset.","Omo, my mind no touch ground at all, things just dey do me somehow for body. Sleep no dey gree catch me, na just to dey overthink how I be pure invalid wey no suppose dey this life. No be say I dey reason to drink sniper or off myself oh. I dey always won sort my head out, but body no go just give me the ginger to do am. Abeg, wetin I go do make I stop to dey feel like say I no get use for anybody?","Omo, I'm going through a lot mentally rn tbh. I barely even sleep, all I do is overthink about how useless I am and how I shouldn't even be here. It's not like I want to off myself or anything sha. I always want to work on my shit and fix my issues, but I just never get around to doing it. Pls how do I stop feeling like I'm completely worthless to everybody?","low_self_esteem, sadness_depression, crisis_suicide_ideation"
"I'm going through some things with my feelings and myself. I barely sleep and I do nothing but think about how I'm worthless and how I shouldn't be here.
   I've never tried or contemplated suicide. I've always wanted to fix my issues, but I never get around to it.
   How can I change my feeling of being worthless to everyone?","Hello, you sound like you have so much on your mind! I am relieved to hear that you have never tried or have contemplated suicide, but not being able to sleep, feeling worthless, and like you shouldn't be here are big issues that need addressing.Please get around to counseling.  Having someone to listen to you is a gift to yourself. You deserve the help of someone helping you change your feelings of worthlessness. You have not been able to do this alone. It's time to reach out for help.  You can do this! Best to you!","Omo, my head just dey scatter, my chest dey heavy with different things. Sleep no dey gree catch me, na so so over-reasoning I dey do. I go just dey think say my life spoil and I no suppose dey this world again. I no go lie, I never try say I want drink sniper or kill myself oh. I always want arrange my life make my head correct, but the ginger no dey at all, body go just weak me. Abeg, wetin I fit do make I stop to dey feel like say I be nobody to people?","Omo tbh my mental health has been a mess lately. I barely even sleep, I just stay awake overthinking about how I’m a failure and how I shouldn't even be here. I'm not suicidal tho, I've never actually tried or thought of ending it. I really want to work on myself and fix my issues, but I just never have the ginger to do it. Pls how do I stop feeling so useless to everyone around me?","low_self_esteem, crisis_suicide_ideation, sleep_insomnia"
"I'm going through some things with my feelings and myself. I barely sleep and I do nothing but think about how I'm worthless and how I shouldn't be here.
   I've never tried or contemplated suicide. I've always wanted to fix my issues, but I never get around to it.
   How can I change my feeling of being worthless to everyone?","It sounds like you are having some pretty severe depression. Depression can cause insomnia, and make a person focus on their own perceptions that they are ""worthless"". It is important to remember that other people may not truly perceive you as worthless. This is the depression talking.  I think that it is extremely important when you are this depressed, to sit down and write down some positives about yourself. What are your strengths? What are some positive things that your have done in your life? It concerns me that you are having suicidal thoughts. It sounds like now is the time to act on the idea of getting some help for yourself. If you feel like you might actually take your life, I would recommend that you go to a hospital emergency room, or a mental health crisis clinic right away to get some help. The most important thing right now is to keep yourself safe. If you are feeling like you are not going to hurt yourself despite your suicidal thoughts, I would recommend that you focus on finding a therapist as soon as possible. I don't know what your situation is in terms of insurance. The back of your insurance card should inform you how to obtain mental health services. There are also low cost services available with such places as Catholic Charities, and others. Your local county mental health agency should be able to refer you to some appropriate places. Good luck. Remember to identify your strengths, and the good things about yourself.  Marie","Omo, my head just dey scatter, my inside just dey heavy me. I no dey fit sleep at all, na so so overthinking dey wipe me cord, dey tell me say I be empty nylon wey no suppose even dey this life. No be say I wan drink sniper or rope myself oh, far foul. I dey always wan find cure to this my matter, but the ginger to run am no just dey, my body go just weak. Abeg, wetin I fit do make I stop to dey feel like say I be zero to everybody?","Omo, my mental health is in the mud rn, I'm just fighting my own mind. I barely even catch sleep. I just stay up overthinking about how I'm a failure and how I shouldn't even be here. It's not like I want to off myself sha, I've never actually considered suicide. Tbh I always want to work on myself and sort my shit out, but I just never get the ginger to actually do it. How do I stop feeling like I'm useless to everyone?","crisis_suicide_ideation, low_self_esteem, sadness_depression"
"I'm going through some things with my feelings and myself. I barely sleep and I do nothing but think about how I'm worthless and how I shouldn't be here.
   I've never tried or contemplated suicide. I've always wanted to fix my issues, but I never get around to it.
   How can I change my feeling of being worthless to everyone?","You can, for sure... and the first step is to believe you are worthy TO YOURSELF. Recognizing you are in a quest is already a big first step. Taking the time to start figuring out who you are is definitely the next... do so with SELF COMPASSION and kindness. Know this is a process and just look forward for what you might find.  I do recommend you find someone to talk to (there are many options out there that can fit the situation you are in), and I also recommend you start by giving yourself the importance to invest some time and effort in this quest. YOU DESERVE IT. There are some excellent TED Talks you can google, great books you can read, or even joining a yoga practice, team or some kind of hobby may help. Anything that shows yourself you are worthy of this effort. Have patience and start!!!! the answer is out there waiting for you. Asking these questions already set you on the right path.","Omo, body just dey do me somehow these days, my mind no even settle at all. Sleep no dey catch my eye, na so so overthinking dey wipe me for head say I be useless pikin wey no suppose dey this life. No be say I don ever reason to drink sniper or off myself oh. I dey always wan arrange my life make my head correct, but the ginger no just dey. Abeg, wetin I go do make I stop to dey feel like say I no get use for anybody?","Omo I've been going through it mentally tbh. I barely even sleep, I just stay awake overthinking about how I'm useless and shouldn't even be existing. It's not like I want to commit suicide or anything sha. I actually want to work on myself and fix up, but I just never get the zeal to do it. How do I even stop feeling like I'm completely worthless to everybody?","low_self_esteem, sadness_depression, sleep_insomnia"
"I'm going through some things with my feelings and myself. I barely sleep and I do nothing but think about how I'm worthless and how I shouldn't be here.
   I've never tried or contemplated suicide. I've always wanted to fix my issues, but I never get around to it.
   How can I change my feeling of being worthless to everyone?","Oftentimes we can change our feelings about ourselves by building a better relationship with ourself.  It sounds like there is a very critical aspect of your self that is alive and taking over.  Sometimes when we are stuck it is because a part of ourselves, a way that perhaps we learned to cope with difficult situations earlier in our lives, has decided to run the show.  Like a highly critical part that may actually be desperately attempting to protect us from a past hurt. Slowing down and even forming a relationship with this critical internal part will help you get some space from it.  When we can begin to observe parts of ourselves, be curious about them, get to know them like a new friend, then we have room for other ways of being.  Beginning therapy could be a great way to change this feeling of worthlessness.  Beginning to build a better relationship and understanding of yourself will deeply influence the relationships around you.  This first step may feel hard, to reach out to someone, and it could be the beginning step to a path of radically shifting your relationship with yourself and others in your life.","Omo, my head no balance at all, the thing just dey press my chest. Sleep don cast, na so so overthinking dey wire me. I go just dey reason say I be useless pikin, say I no even suppose dey this life. No be say I wan off myself oh, my mind never even carry me reach that side. I dey always wan format my brain make I okay, but the ginger no just dey at all. Abeg, how I go take stop this feeling say I be waste of space to everybody?","Omo I'm really going through it mentally rn. I barely even sleep, just constant overthinking about how I'm useless and tbh I feel like I shouldn't even be here. It's not like I want to kms or anything oh, I've never even thought of doing that. I always want to fix up and sort myself out but the ginger is just never there. Pls how do I stop feeling like a massive burden to everybody?","crisis_suicide_ideation, low_self_esteem, sadness_depression"
"I'm going through some things with my feelings and myself. I barely sleep and I do nothing but think about how I'm worthless and how I shouldn't be here.
   I've never tried or contemplated suicide. I've always wanted to fix my issues, but I never get around to it.
   How can I change my feeling of being worthless to everyone?","Feelings of worthlessness often originate  from what you learned about yourself when you were young. Improving your self esteem needs focus on that original message from parents, teachers or siblings that may be suppressed.  Most of us need help to uncover the ""lie"" because you were born valuable!","Omo, my head just dey burst, things dey do me one kain for mind. Sleep no dey gree catch me, na so so overthinking I dey do. I go just dey feel like say I be zero, like say I no even suppose dey this life. No be say I wan kpai myself oh, I never even reason that side at all. I dey always wan arrange my head make I better, but the ginger to do am no just dey. Abeg, wetin man fit do take comot this feeling say I be useless person for everybody eye?","Omo tbh I've been going through a lot mentally rn. I barely even sleep, I just stay awake overthinking about how I'm a failure and shouldn't even be here. Not like I want to off myself sha, I've never even considered suicide. I genuinely want to fix my issues and get better but I just never have the ginger to actually do it. How do I stop feeling like I'm completely useless to everyone?","low_self_esteem, sadness_depression, sleep_insomnia"
"I'm going through some things with my feelings and myself. I barely sleep and I do nothing but think about how I'm worthless and how I shouldn't be here.
   I've never tried or contemplated suicide. I've always wanted to fix my issues, but I never get around to it.
   How can I change my feeling of being worthless to everyone?",The feeling of being worthless is caused by your inside being not matching your outside result. Your comparison to others and you thinking you need to be someone other than who you are. You are not worthless. No one is worthless. You need to find your worth and not let yourself talk yourself out of the good you find in yourself. I hope these words resonate with you and that you start looking for your worth even if it’s as simple as I am able to get out of bed and call someone and make a joke.,"Omo, my mind no touch ground at all, things just dey do me somehow for body. Sleep no dey gree catch me, na so-so overthinking dey finish me, dey make me feel like say I be pure zero and I no even suppose dey this life. No be say I wan off myself o, suicide never even cross my mind. I dey always wan sort my head, but body no go just bring itself to do am. Abeg, how man fit comot this feeling say my life no useful to anybody?","Omo I'm just going through a lot emotionally rn. I barely even sleep, I just stay up overthinking about how I'm useless and shouldn't even exist. Tbh it's not like I'm suicidal or anything. I've always wanted to work on myself and sort my head out, but I just never get the ginger to actually do it. Pls how do I stop feeling like I'm completely worthless to everyone?","low_self_esteem, sadness_depression, sleep_insomnia"
